Nombre del Producto,URL de la Imagen
Assorted fruit mochi,https://i0.wp.com/abcstore.com.gt/wp-content/uploads/2023/12/Assorted-fruit-mochi.webp?resize=300%2C300&amp;ssl=1
Basak chip,https://i0.wp.com/abcstore.com.gt/wp-content/uploads/2023/12/Basak-chip-2.jpg?resize=300%2C300&amp;ssl=1
Bubble milk tea mochi,https://i0.wp.com/abcstore.com.gt/wp-content/uploads/2023/12/Bubble-milk-tea-mochi.png?resize=300%2C300&amp;ssl=1
Cacao mochi,https://i0.wp.com/abcstore.com.gt/wp-content/uploads/2023/12/Cacao-mochi.webp?resize=300%2C300&amp;ssl=1
Coconut pandan mochi,https://i0.wp.com/abcstore.com.gt/wp-content/uploads/2023/12/Coconut-pandan-mochi.jpg?resize=300%2C300&amp;ssl=1
Custard mochi raspberry,https://i0.wp.com/abcstore.com.gt/wp-content/uploads/2023/12/Custard-mochi-raspberry-2.jpg?resize=300%2C300&amp;ssl=1
Fruit mochi blueberry,https://i0.wp.com/abcstore.com.gt/wp-content/uploads/2023/12/Fruit-mochi-blueberry.jpg?resize=300%2C300&amp;ssl=1
Fruit mochi durazno,https://i0.wp.com/abcstore.com.gt/wp-content/uploads/2023/12/Fruit-mochi-durazno.jpg?resize=300%2C300&amp;ssl=1
Fruit mochi hami melon,https://i0.wp.com/abcstore.com.gt/wp-content/uploads/2023/12/Fruit-mochi-hami-melon.jpg?resize=300%2C300&amp;ssl=1
Fruit mochi mango,https://i0.wp.com/abcstore.com.gt/wp-content/uploads/2023/12/Fruit-mochi-mango.jpg?resize=300%2C300&amp;ssl=1
Fruit mochi mixto,https://i0.wp.com/abcstore.com.gt/wp-content/uploads/2023/12/Fruit-mochi-mixto.webp?resize=300%2C300&amp;ssl=1
